sample,read_1,read_2,taxid
M40,JS_M40_S14_L006_R1_001.fastq.gz,JS_M40_S14_L006_R2_001.fastq.gz,4890
M45,JS_M45_S39_L006_R1_001.fastq.gz,JS_M45_S39_L006_R2_001.fastq.gz,4890
M48,JS_M48_S11_L006_R1_001.fastq.gz,JS_M48_S11_L006_R2_001.fastq.gz,4890
V103,JS_V103_S7_L006_R1_001.fastq.gz,JS_V103_S7_L006_R2_001.fastq.gz,4890
V109,JS_V109_S8_L006_R1_001.fastq.gz,JS_V109_S8_L006_R2_001.fastq.gz,4890
V111,JS_V111_S37_L006_R1_001.fastq.gz,JS_V111_S37_L006_R2_001.fastq.gz,4890
V117,JS_V117_S9_L006_R1_001.fastq.gz,JS_V117_S9_L006_R2_001.fastq.gz,4890
V119,JS_V119_S38_L006_R1_001.fastq.gz,JS_V119_S38_L006_R2_001.fastq.gz,4890
V11,JS_V11_S43_L006_R1_001.fastq.gz,JS_V11_S43_L006_R2_001.fastq.gz,4890
V138,JS_V138_S10_L006_R1_001.fastq.gz,JS_V138_S10_L006_R2_001.fastq.gz,4890
V20,JS_V20_S12_L006_R1_001.fastq.gz,JS_V20_S12_L006_R2_001.fastq.gz,4890
V22,JS_V22_S13_L006_R1_001.fastq.gz,JS_V22_S13_L006_R2_001.fastq.gz,4890
V37,JS_V37_S42_L006_R1_001.fastq.gz,JS_V37_S42_L006_R2_001.fastq.gz,4890
V51,JS_V51_S36_L006_R1_001.fastq.gz,JS_V51_S36_L006_R2_001.fastq.gz,4890
